GPU,Model,baseline,w=0.00,w=0.25,w=0.50,w=0.75,w=1.00
T4,tabdpt,0.7054 ± 0.0007,0.6864 ± 0.0003,0.6891 ± 0.0005,0.6908 ± 0.0009,0.6940 ± 0.0002,0.7058 ± 0.0007
T4,tabicl,0.6173 ± 0.2176,0.6310 ± 0.0000,0.6340 ± 0.0235,0.6369 ± 0.0463,0.6374 ± 0.0838,0.6340 ± 0.1452
T4,tabpfn,0.7021 ± 0.0003,0.6956 ± 0.0002,0.6981 ± 0.0004,0.6940 ± 0.0001,0.6973 ± 0.0006,0.7036 ± 0.0003
L4,tabdpt,0.7060 ± 0.0007,0.6863 ± 0.0003,0.6891 ± 0.0005,0.6910 ± 0.0009,0.6938 ± 0.0002,0.7060 ± 0.0007
L4,tabicl,0.4509 ± 0.2176,0.6310 ± 0.0000,0.6267 ± 0.0235,0.6096 ± 0.0463,0.5854 ± 0.0838,0.5448 ± 0.1452
L4,tabpfn,0.7020 ± 0.0003,0.6957 ± 0.0002,0.6978 ± 0.0004,0.6939 ± 0.0001,0.6970 ± 0.0006,0.7034 ± 0.0003
A100,tabdpt,0.7056 ± 0.0007,0.6861 ± 0.0003,0.6894 ± 0.0005,0.6914 ± 0.0009,0.6938 ± 0.0002,0.7059 ± 0.0007
A100,tabicl,0.4509 ± 0.2176,0.6310 ± 0.0000,0.6267 ± 0.0235,0.6096 ± 0.0463,0.5854 ± 0.0838,0.5448 ± 0.1452
A100,tabpfn,0.7020 ± 0.0003,0.6955 ± 0.0002,0.6979 ± 0.0004,0.6940 ± 0.0001,0.6967 ± 0.0006,0.7035 ± 0.0003
H100,tabdpt,0.7057 ± 0.0007,0.6861 ± 0.0003,0.6892 ± 0.0005,0.6905 ± 0.0009,0.6938 ± 0.0002,0.7057 ± 0.0007
H100,tabicl,0.3998 ± 0.2176,0.6310 ± 0.0000,0.6106 ± 0.0235,0.5906 ± 0.0463,0.5536 ± 0.0838,0.4889 ± 0.1452
H100,tabpfn,0.7022 ± 0.0003,0.6956 ± 0.0002,0.6979 ± 0.0004,0.6940 ± 0.0001,0.6968 ± 0.0006,0.7035 ± 0.0003
B200,tabdpt,0.7052 ± 0.0007,0.6860 ± 0.0003,0.6896 ± 0.0005,0.6907 ± 0.0009,0.6939 ± 0.0002,0.7053 ± 0.0007
B200,tabicl,0.5281 ± 0.2176,0.6310 ± 0.0000,0.6307 ± 0.0235,0.6233 ± 0.0463,0.6068 ± 0.0838,0.5837 ± 0.1452
B200,tabpfn,0.7022 ± 0.0003,0.6955 ± 0.0002,0.6982 ± 0.0004,0.6939 ± 0.0001,0.6969 ± 0.0006,0.7037 ± 0.0003
