GPU,Model,baseline,w=0.00,w=0.25,w=0.50,w=0.75,w=1.00
T4,tabdpt,0.8007 ± 0.0007,0.7987 ± 0.0006,0.7993 ± 0.0007,0.8020 ± 0.0005,0.8022 ± 0.0003,0.8015 ± 0.0006
T4,tabicl,0.8035 ± 0.0049,0.7963 ± 0.0054,0.7972 ± 0.0054,0.7983 ± 0.0048,0.8010 ± 0.0047,0.8036 ± 0.0062
T4,tabpfn,0.8119 ± 0.0005,0.8040 ± 0.0001,0.8104 ± 0.0004,0.5115 ± 0.0004,0.8111 ± 0.0003,0.8112 ± 0.0002
L4,tabdpt,0.8009 ± 0.0007,0.7987 ± 0.0006,0.7996 ± 0.0007,0.8020 ± 0.0005,0.8024 ± 0.0003,0.8019 ± 0.0006
L4,tabicl,0.8048 ± 0.0049,0.7982 ± 0.0054,0.7994 ± 0.0054,0.8008 ± 0.0048,0.8024 ± 0.0047,0.8059 ± 0.0062
L4,tabpfn,0.8121 ± 0.0005,0.8041 ± 0.0001,0.8106 ± 0.0004,0.5117 ± 0.0004,0.8111 ± 0.0003,0.8112 ± 0.0002
A100,tabdpt,0.8005 ± 0.0007,0.7987 ± 0.0006,0.7992 ± 0.0007,0.8016 ± 0.0005,0.8023 ± 0.0003,0.8016 ± 0.0006
A100,tabicl,0.8019 ± 0.0049,0.7973 ± 0.0054,0.7988 ± 0.0054,0.7997 ± 0.0048,0.8006 ± 0.0047,0.8022 ± 0.0062
A100,tabpfn,0.8122 ± 0.0005,0.8041 ± 0.0001,0.8103 ± 0.0004,0.5116 ± 0.0004,0.8112 ± 0.0003,0.8112 ± 0.0002
H100,tabdpt,0.8008 ± 0.0007,0.7988 ± 0.0006,0.7999 ± 0.0007,0.8019 ± 0.0005,0.8021 ± 0.0003,0.8012 ± 0.0006
H100,tabicl,0.7999 ± 0.0049,0.7943 ± 0.0054,0.7951 ± 0.0054,0.7965 ± 0.0048,0.7986 ± 0.0047,0.7997 ± 0.0062
H100,tabpfn,0.8124 ± 0.0005,0.8040 ± 0.0001,0.8107 ± 0.0004,0.5119 ± 0.0004,0.8110 ± 0.0003,0.8111 ± 0.0002
B200,tabdpt,0.8002 ± 0.0007,0.7982 ± 0.0006,0.7998 ± 0.0007,0.8016 ± 0.0005,0.8024 ± 0.0003,0.8014 ± 0.0006
B200,tabicl,0.8003 ± 0.0049,0.7928 ± 0.0054,0.7940 ± 0.0054,0.7960 ± 0.0048,0.7978 ± 0.0047,0.8011 ± 0.0062
B200,tabpfn,0.8122 ± 0.0005,0.8041 ± 0.0001,0.8105 ± 0.0004,0.5118 ± 0.0004,0.8113 ± 0.0003,0.8112 ± 0.0002
